title,url,region,price,price_display,bedrooms,bathrooms,furnishing,size_sqm,image_url
1bdrm Condo in Bole Bolbula for rent,https://jiji.com.et/bole/houses-apartments-for-rent/1bdrm-condo-in-bole-bolbula-for-rent-AzksGwZHl7HtO933WxpiMok.html?page=1&pos=1&cur_pos=1&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,"Addis Ababa, Bole",23000,"ETB 23,000",1,1,Semi-Furnished,54,https://pictures-ethiopia.jijistatic.com/5847585_MzAwLTIyNS00ODU1YzM5MWNm.webp
"Furnished 2bdrm Condo in Ayat Ayer Menged, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-ayer-menged-yeka-for-rent-m9QrsuCBhtRHEiFbcAEtg2qS.html?page=1&pos=2&cur_pos=2&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,"Addis Ababa, Yeka",11000,"ETB 11,000",2,1,Furnished,61,https://pictures-ethiopia.jijistatic.com/8026746_MzAwLTY2OC1lOGVkNWQ1YTdm.webp
"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-r9jF8IvJNo1gcaZrsol9MTuy.html?page=1&pos=4&cur_pos=4&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,"Addis Ababa, Yeka",15000,"ETB 15,000",2,2,Furnished,86,https://pictures-ethiopia.jijistatic.com/7528148_MzAwLTY2OC1lMGRjZGI3NTE2.webp
"Furnished 2bdrm Condo in Ayat Gift Real State, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-gift-real-state-yeka-for-rent-9OZxE8P6TTE71NmMHUE0LeBZ.html?page=1&pos=5&cur_pos=5&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,"Addis Ababa, Yeka",30000,"ETB 30,000",2,2,Furnished,90,https://pictures-ethiopia.jijistatic.com/7667437_MzAwLTY2OC0yODliMmMyZjVi.webp
"Furnished 3bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-ayat-49-40-60-yeka-for-rent-7raCcUVtcQYL6T6nNqh5PoL.html?page=1&pos=6&cur_pos=6&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,"Addis Ababa, Yeka",30000,"ETB 30,000",3,2,Furnished,91,https://pictures-ethiopia.jijistatic.com/6945440_MzAwLTY2OC0yMjM3YWQ5ZGE0.webp
"Furnished 1bdrm Condo in Ayat 49,, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-1bdrm-condo-in-ayat-49-yeka-for-rent-C3zF0hSyT3mrLkdy8WDQSPq5.html?page=1&pos=7&cur_pos=7&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,"Addis Ababa, Yeka",17000,"ETB 17,000",1,1,Furnished,61,https://pictures-ethiopia.jijistatic.com/6184456_MzAwLTY2OC03OTcyM2Q5NDQ3.webp
"Furnished 3bdrm Condo in የሚከራይ አያት 49 ባለ 3, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-yamikaraaye-ayaate-49-baala-3-yeka-for-rent-psV6HUZYapFbW1sXs1WIgYTL.html?page=1&pos=8&cur_pos=8&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,"Addis Ababa, Yeka",26000,"ETB 26,000",3,2,Furnished,105,https://pictures-ethiopia.jijistatic.com/5601536_MzAwLTUzMy00NzNlNWQ5MWM5.webp
"1bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/1bdrm-condo-in-ayat-49-40-60-yeka-for-rent-yBrod9pJkHXeofjNBJUQTOjq.html?page=1&pos=9&cur_pos=9&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,"Addis Ababa, Yeka",10000,"ETB 10,000",1,1,Semi-Furnished,59,https://pictures-ethiopia.jijistatic.com/6506304_MzAwLTY2Ny1hZjcxOTg2YzBj.webp
"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-BZiT1KG0CIML7lrA8sJD7NXv.html?page=1&pos=11&cur_pos=11&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,"Addis Ababa, Yeka",16000,"ETB 16,000",2,1,Furnished,81,https://pictures-ethiopia.jijistatic.com/7369323_MzAwLTY2OC0xMmQ5MmYxNTAy.webp
"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-jSTYzQOE9685Q4tdbh1BfHWR.html?page=1&pos=12&cur_pos=12&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,"Addis Ababa, Yeka",16000,"ETB 16,000",2,1,Furnished,59,https://pictures-ethiopia.jijistatic.com/6540622_MzAwLTY2OC1kNjQ4NmZjMzhh.webp
