title,url,region,price,price_display,bedrooms,bathrooms,furnishing,size_sqm,image_url
Furnished 2bdrm Condo in Bole for rent,https://jiji.com.et/bole/houses-apartments-for-rent/furnished-2bdrm-condo-in-bole-for-rent-eRsiPewfQXsllVTvQTMA62c.html?page=1&pos=1&cur_pos=1&ads_per_page=14&ads_count=256&lid=C_106aY1Lanl9jvg,"Addis Ababa, Bole",15000,"ETB 15,000",2,1,Furnished,76,https://pictures-ethiopia.jijistatic.com/8372838_MzAwLTIyNS02ZTUyYjI4MTA4.webp
1bdrm Condo in Bole Bolbula for rent,https://jiji.com.et/bole/houses-apartments-for-rent/1bdrm-condo-in-bole-bolbula-for-rent-AzksGwZHl7HtO933WxpiMok.html?page=1&pos=2&cur_pos=2&ads_per_page=14&ads_count=256&lid=C_106aY1Lanl9jvg,"Addis Ababa, Bole",23000,"ETB 23,000",1,1,Semi-Furnished,54,https://pictures-ethiopia.jijistatic.com/5847585_MzAwLTIyNS00ODU1YzM5MWNm.webp
Furnished 2bdrm Condo in Bole for rent,https://jiji.com.et/bole/houses-apartments-for-rent/furnished-2bdrm-condo-in-bole-for-rent-eRsiPewfQXsllVTvQTMA62c.html?page=1&pos=3&cur_pos=3&ads_per_page=14&ads_count=256&lid=C_106aY1Lanl9jvg,"Addis Ababa, Bole",15000,"ETB 15,000",2,1,Furnished,76,https://pictures-ethiopia.jijistatic.com/8372838_MzAwLTIyNS02ZTUyYjI4MTA4.webp
"1bdrm Condo in አያት መብራት ኮንዶምኒየም 3ኛ, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/1bdrm-condo-in-ayaate-maberaate-konedomeniyame-3nyaa-yeka-for-rent-wE3ZYdbRTbYZSb2DIYNrPNyl.html?page=1&pos=4&cur_pos=4&ads_per_page=14&ads_count=256&lid=C_106aY1Lanl9jvg,"Addis Ababa, Yeka",4000000,"ETB 4,000,000",1,1,Unfurnished,47,https://pictures-ethiopia.jijistatic.com/5201306_MzAwLTUzMy1lYzM3ZTAzYjdiLTE.webp
"Furnished 1bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-1bdrm-condo-in-ayat-49-40-60-yeka-for-rent-wimGXpZexMCYbAhdCps43Wzw.html?page=1&pos=5&cur_pos=5&ads_per_page=14&ads_count=256&lid=C_106aY1Lanl9jvg,"Addis Ababa, Yeka",12000,"ETB 12,000",1,1,Furnished,58,https://pictures-ethiopia.jijistatic.com/8026692_MzAwLTY2OC1jMDMxOWZlMTBm.webp
"Furnished 2bdrm Condo in Meri, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-meri-yeka-for-rent-BMFiSl6BgO9xRmmsoRFZ8UZd.html?page=1&pos=6&cur_pos=6&ads_per_page=14&ads_count=256&lid=C_106aY1Lanl9jvg,"Addis Ababa, Yeka",26000,"ETB 26,000",2,1,Furnished,88,https://pictures-ethiopia.jijistatic.com/5620591_MzAwLTY2OC04YmM5OGY3OTI0LTE.webp
"Furnished 1bdrm Condo in Ayat Tsebel, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-1bdrm-condo-in-ayat-tsebel-yeka-for-rent-Bd3lzTgc6yJPxW6mklHTKJmr.html?page=1&pos=7&cur_pos=7&ads_per_page=14&ads_count=256&lid=C_106aY1Lanl9jvg,"Addis Ababa, Yeka",27000,"ETB 27,000",1,1,Furnished,47,https://pictures-ethiopia.jijistatic.com/7602441_MzAwLTY2OC1jMWU0YmViMjA4.webp
"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-unrs5voqJnPLlam2e5eanIgw.html?page=1&pos=8&cur_pos=8&ads_per_page=14&ads_count=256&lid=C_106aY1Lanl9jvg,"Addis Ababa, Yeka",16000,"ETB 16,000",2,1,Furnished,83,https://pictures-ethiopia.jijistatic.com/8250525_MzAwLTY2OC03OWJjYzBkOTMx.webp
"Furnished 2bdrm Condo in አያት መብራት ኃይል የሚሸጥ, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayaate-maberaate-xaayele-yamishathe-yeka-for-rent-w5DHEVFuaF2IpRQSAPYNBgfv.html?page=1&pos=9&cur_pos=9&ads_per_page=14&ads_count=256&lid=C_106aY1Lanl9jvg,"Addis Ababa, Yeka",5000000,"ETB 5,000,000",2,1,Furnished,74,https://pictures-ethiopia.jijistatic.com/6001777_MzAwLTUzMy03OTBlMTdjOTRj.webp
"Furnished 3bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-ayat-49-40-60-yeka-for-rent-7raCcUVtcQYL6T6nNqh5PoL.html?page=1&pos=10&cur_pos=10&ads_per_page=14&ads_count=256&lid=C_106aY1Lanl9jvg,"Addis Ababa, Yeka",30000,"ETB 30,000",3,2,Furnished,91,https://pictures-ethiopia.jijistatic.com/6945440_MzAwLTY2OC0yMjM3YWQ5ZGE0.webp
"Furnished 2bdrm Condo in Ayat Gift Real State, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-gift-real-state-yeka-for-rent-9OZxE8P6TTE71NmMHUE0LeBZ.html?page=1&pos=11&cur_pos=11&ads_per_page=14&ads_count=256&lid=C_106aY1Lanl9jvg,"Addis Ababa, Yeka",30000,"ETB 30,000",2,2,Furnished,90,https://pictures-ethiopia.jijistatic.com/7667437_MzAwLTY2OC0yODliMmMyZjVi.webp
"Furnished 3bdrm Condo in የሚከራይ አያት 49 ባለ 3, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-yamikaraaye-ayaate-49-baala-3-yeka-for-rent-psV6HUZYapFbW1sXs1WIgYTL.html?page=1&pos=12&cur_pos=12&ads_per_page=14&ads_count=256&lid=C_106aY1Lanl9jvg,"Addis Ababa, Yeka",26000,"ETB 26,000",3,2,Furnished,105,https://pictures-ethiopia.jijistatic.com/5601536_MzAwLTUzMy00NzNlNWQ5MWM5.webp
"Furnished 3bdrm Condo in Ayat 49, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-ayat-49-yeka-for-rent-8PiuDzzW61szaFa21V5IBfFL.html?page=1&pos=13&cur_pos=13&ads_per_page=14&ads_count=256&lid=C_106aY1Lanl9jvg,"Addis Ababa, Yeka",25000,"ETB 25,000",3,2,Furnished,91,https://pictures-ethiopia.jijistatic.com/6999851_MzAwLTY2OC04NWI5MjEyNzk0.webp
"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-BZiT1KG0CIML7lrA8sJD7NXv.html?page=1&pos=14&cur_pos=14&ads_per_page=14&ads_count=256&lid=C_106aY1Lanl9jvg,"Addis Ababa, Yeka",16000,"ETB 16,000",2,1,Furnished,81,https://pictures-ethiopia.jijistatic.com/7369323_MzAwLTY2OC0xMmQ5MmYxNTAy.webp
"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-jSTYzQOE9685Q4tdbh1BfHWR.html?page=2&pos=1&cur_pos=1&ads_per_page=13&ads_count=256&lid=mlvKZ65E5T3pyRPS,"Addis Ababa, Yeka",16000,"ETB 16,000",2,1,Furnished,59,https://pictures-ethiopia.jijistatic.com/6540622_MzAwLTY2OC1kNjQ4NmZjMzhh.webp
"Furnished 3bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-ayat-49-40-60-yeka-for-rent-5uQdhkPmZnSLrfn11yQy3PjR.html?page=2&pos=2&cur_pos=2&ads_per_page=13&ads_count=256&lid=mlvKZ65E5T3pyRPS,"Addis Ababa, Yeka",20000,"ETB 20,000",3,1,Furnished,86,https://pictures-ethiopia.jijistatic.com/8107179_MzAwLTY2OC0zNGI4YjY0YmUy.webp
"Furnished 1bdrm Condo in Ayat Tsebel, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-1bdrm-condo-in-ayat-tsebel-yeka-for-rent-m8zsfEMu2IuBCBmFvLhovKhY.html?page=2&pos=3&cur_pos=3&ads_per_page=13&ads_count=256&lid=mlvKZ65E5T3pyRPS,"Addis Ababa, Yeka",16000,"ETB 16,000",1,1,Furnished,47,https://pictures-ethiopia.jijistatic.com/6696270_MzAwLTY2OC0wZGJkYzI1OWQ2.webp
"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-unrs5voqJnPLlam2e5eanIgw.html?page=2&pos=4&cur_pos=4&ads_per_page=13&ads_count=256&lid=mlvKZ65E5T3pyRPS,"Addis Ababa, Yeka",16000,"ETB 16,000",2,1,Furnished,83,https://pictures-ethiopia.jijistatic.com/8250525_MzAwLTY2OC03OWJjYzBkOTMx.webp
"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-aIHm5Ex05SOcVibQP8S4dX6s.html?page=2&pos=5&cur_pos=5&ads_per_page=13&ads_count=256&lid=mlvKZ65E5T3pyRPS,"Addis Ababa, Yeka",23000,"ETB 23,000",2,2,Furnished,86,https://pictures-ethiopia.jijistatic.com/6945398_MzAwLTY2OC1jYWRjZGQzNDhk.webp
"Furnished 3bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-ayat-mekedonia-yeka-for-rent-djD5X0eO6MZKDVkWHtdgzuit.html?page=2&pos=6&cur_pos=6&ads_per_page=13&ads_count=256&lid=mlvKZ65E5T3pyRPS,"Addis Ababa, Yeka",18000,"ETB 18,000",3,1,Furnished,110,https://pictures-ethiopia.jijistatic.com/7528058_MzAwLTY2OC1hZGNjMWMzNTIz.webp
"Furnished 3bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-ayat-49-40-60-yeka-for-rent-hqJd5yk2KM1Gox44DBxEq81w.html?page=2&pos=7&cur_pos=7&ads_per_page=13&ads_count=256&lid=mlvKZ65E5T3pyRPS,"Addis Ababa, Yeka",30000,"ETB 30,000",3,2,Furnished,122,https://pictures-ethiopia.jijistatic.com/8259179_MzAwLTY2OC04ZGE4YzViZmE0.webp
"Furnished 1bdrm Condo in Meri 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-1bdrm-condo-in-meri-40-60-yeka-for-rent-kzJnQirjraX7llVv1fAZhWof.html?page=2&pos=8&cur_pos=8&ads_per_page=13&ads_count=256&lid=mlvKZ65E5T3pyRPS,"Addis Ababa, Yeka",23000,"ETB 23,000",1,1,Furnished,61,https://pictures-ethiopia.jijistatic.com/5632735_MzAwLTY2OC1hZDNlYTYzYTZkLTE.webp
"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-4ZlyD8iyf8NOPArw9pLzXv8r.html?page=2&pos=9&cur_pos=9&ads_per_page=13&ads_count=256&lid=mlvKZ65E5T3pyRPS,"Addis Ababa, Yeka",20000,"ETB 20,000",2,1,Furnished,86,https://pictures-ethiopia.jijistatic.com/6802213_MzAwLTY2OC0wMDU1MTZhYzM5.webp
