admin_info,as_top,attrs,badge_info,can_view_contacts,category_id,category_name,category_slug,count_images,details,event_params,fb_view_content_data,guid,id,image_obj,images,images_count,is_boost,is_cv,is_inspected,is_job,is_owner,is_top,labels,message_url,paid_info,price_obj,price_title,region,region_id,region_item_text,region_name,region_parent_name,region_slug,short_description,slug,status,title,title_labels,tops_count,url,user_id
{},False,"[{'name': 'Listing by', 'value': 'Agent', 'unit': None}, {'name': 'Property size', 'value': 79, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Unfurnished', 'unit': None}, {'name': 'Bedrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bedrooms'}, {'name': 'Bathrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bathrooms'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,8,"የሚከራይ 40/60 ኮንደሚኒየም አአ ቦሌ ቡልቡላ 
ሁለት መኝታ 
ሁለት መታጠቢያ
አንድ ኪችን
7ኛ ፎቅ
ካብኔትና ቁምሳጥን የተገጠመለት 
ዋጋ 30,000birr...",{'listing_options': ['filters']},"{'content_name': '2bdrm Condo in አዲስ አአ, Bole for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['iRvLWViYYMVVQsqGSnSYB7rp'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",iRvLWViYYMVVQsqGSnSYB7rp,1799311,"{'url': 'https://pictures-ethiopia.jijistatic.com/6105953_MzAwLTQwMC03YWNhYTY3ZWZm.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/6105953_MzAwLTQwMC03YWNhYTY3ZWZm.webp', 'center': None, 'size': [300, 400]}]",8,vip,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fbole%2Fhouses-apartments-for-rent%2F2bdrm-condo-in-adise-aa-bole-for-rent-iRvLWViYYMVVQsqGSnSYB7rp.html%3Fpage%3D1%26pos%3D1%26cur_pos%3D1%26ads_per_page%3D13%26ads_count%3D245%26lid%3DQzYJYQpSoxhY7PZe,"{'text': 'Promoted', 'package_type': 'vip', 'border': '', 'icon': True, 'more_photos': False}","{'value': 30000, 'view': 'ETB 30,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 30,000 per month","Addis Ababa, Bole",15,"Addis Ababa, Bole",Bole,Addis Ababa,bole,"የሚከራይ 40/60 ኮንደሚኒየም አአ ቦሌ ቡልቡላ 
ሁለት መኝታ 
ሁለት መታጠቢያ
አንድ ኪችን
7ኛ ፎቅ
ካብኔትና ቁምሳጥን የተገጠመለት 
ዋጋ 30,000birr...",2bdrm-condo-in-adise-aa-bole-for-rent,active,"2bdrm Condo in አዲስ አአ, Bole for rent",[],0,/bole/houses-apartments-for-rent/2bdrm-condo-in-adise-aa-bole-for-rent-iRvLWViYYMVVQsqGSnSYB7rp.html?page=1&pos=1&cur_pos=1&ads_per_page=13&ads_count=245&lid=QzYJYQpSoxhY7PZe,123813
{},False,"[{'name': 'Property size', 'value': 54, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Semi-Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bedroom'}, {'name': 'Bathrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bathroom'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,5,"Location bole bolbula one bedroom condominium for rent 
For all information call 0913400120",{'listing_options': ['filters']},"{'content_name': '1bdrm Condo in Bole Bolbula for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['AzksGwZHl7HtO933WxpiMok'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",AzksGwZHl7HtO933WxpiMok,1721875,"{'url': 'https://pictures-ethiopia.jijistatic.com/5847585_MzAwLTIyNS00ODU1YzM5MWNm.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/5847585_MzAwLTIyNS00ODU1YzM5MWNm.webp', 'center': None, 'size': [300, 225]}]",5,vip,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fbole%2Fhouses-apartments-for-rent%2F1bdrm-condo-in-bole-bolbula-for-rent-AzksGwZHl7HtO933WxpiMok.html%3Fpage%3D1%26pos%3D2%26cur_pos%3D2%26ads_per_page%3D13%26ads_count%3D245%26lid%3DQzYJYQpSoxhY7PZe,"{'text': 'Promoted', 'package_type': 'vip', 'border': '', 'icon': True, 'more_photos': False}","{'value': 23000, 'view': 'ETB 23,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 23,000 per month","Addis Ababa, Bole",15,"Addis Ababa, Bole",Bole,Addis Ababa,bole,"Location bole bolbula one bedroom condominium for rent 
For all information call091*********",1bdrm-condo-in-bole-bolbula-for-rent,active,1bdrm Condo in Bole Bolbula for rent,[],0,/bole/houses-apartments-for-rent/1bdrm-condo-in-bole-bolbula-for-rent-AzksGwZHl7HtO933WxpiMok.html?page=1&pos=2&cur_pos=2&ads_per_page=13&ads_count=245&lid=QzYJYQpSoxhY7PZe,18192
{},False,"[{'name': 'Property size', 'value': 64, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bedrooms'}, {'name': 'Bathrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bathrooms'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,13,"የሚከራይ ኮንደሚኒየም 
 ➚ባለ_1 መኝታ 64 ካሬ ስፋት
 ➚ወለል 2ኛ-ፎቅ ላይ
 ➚ሙሉ ሴራሚክስ-የተሰራ
 ➚ሁለተኛ መኝታ የወጣለት
 ➚ሁለት መታጠቢያ ቤት...",{'listing_options': ['filters']},"{'content_name': 'Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['mW5cyK27CtatVtCS8ZhOdgyD'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",mW5cyK27CtatVtCS8ZhOdgyD,2040061,"{'url': 'https://pictures-ethiopia.jijistatic.com/6887970_MzAwLTY2OC03NDY0YjdmMjc3.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/6887970_MzAwLTY2OC03NDY0YjdmMjc3.webp', 'center': None, 'size': [300, 668]}]",13,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fyeka%2Fhouses-apartments-for-rent%2Ffurnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-mW5cyK27CtatVtCS8ZhOdgyD.html%3Fpage%3D1%26pos%3D3%26cur_pos%3D3%26ads_per_page%3D13%26ads_count%3D245%26lid%3DQzYJYQpSoxhY7PZe,{},"{'value': 12000, 'view': 'ETB 12,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 12,000 per month","Addis Ababa, Yeka",21,"Addis Ababa, Yeka",Yeka,Addis Ababa,yeka,"የሚከራይ ኮንደሚኒየም 
 ➚ባለ_1 መኝታ 64 ካሬ ስፋት
 ➚ወለል 2ኛ-ፎቅ ላይ
 ➚ሙሉ ሴራሚክስ-የተሰራ
 ➚ሁለተኛ መኝታ የወጣለት
 ➚ሁለት መታጠቢያ ቤት...",furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent,active,"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",[],0,/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-mW5cyK27CtatVtCS8ZhOdgyD.html?page=1&pos=3&cur_pos=3&ads_per_page=13&ads_count=245&lid=QzYJYQpSoxhY7PZe,833350
{},False,"[{'name': 'Property size', 'value': 121, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bedrooms'}, {'name': 'Bathrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bathroom'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,14,የሚከራይ 40/60 ኮንዶሚኒየም ቦታ ቦሌ በሻሌ በዘመናዊ መልኩ የተሠራ የተመቻቸ መኪና ማቆሚያ ያለው ባለ2 መኝታ 6ኛ ፎቅ ላይ በልዩ ሁኔታ የተሠራ 1 ሺህ...,{'listing_options': ['filters']},"{'content_name': 'Furnished 2bdrm Condo in ቦሌ በሻሌ 40/60 ኮንዶሚኒየም, Bole for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['iRHTjziaFHLFvtXrSt6FLC1v'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",iRHTjziaFHLFvtXrSt6FLC1v,2222323,"{'url': 'https://pictures-ethiopia.jijistatic.com/7481536_MzAwLTY1MC04ODcxMDkwM2Mz.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/7481536_MzAwLTY1MC04ODcxMDkwM2Mz.webp', 'center': None, 'size': [300, 650]}]",14,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fbole%2Fhouses-apartments-for-rent%2Ffurnished-2bdrm-condo-in-bolee-bashaalee-40-60-konedominiyame-bole-for-rent-iRHTjziaFHLFvtXrSt6FLC1v.html%3Fpage%3D1%26pos%3D4%26cur_pos%3D4%26ads_per_page%3D13%26ads_count%3D245%26lid%3DQzYJYQpSoxhY7PZe,{},"{'value': 30000, 'view': 'ETB 30,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 30,000 per month","Addis Ababa, Bole",15,"Addis Ababa, Bole",Bole,Addis Ababa,bole,የሚከራይ 40/60 ኮንዶሚኒየም ቦታ ቦሌ በሻሌ በዘመናዊ መልኩ የተሠራ የተመቻቸ መኪና ማቆሚያ ያለው ባለ2 መኝታ 6ኛ ፎቅ ላይ በልዩ ሁኔታ የተሠራ 1 ሺህ...,furnished-2bdrm-condo-in-bolee-bashaalee-40-60-konedominiyame-bole-for-rent,active,"Furnished 2bdrm Condo in ቦሌ በሻሌ 40/60 ኮንዶሚኒየም, Bole for rent",[],0,/bole/houses-apartments-for-rent/furnished-2bdrm-condo-in-bolee-bashaalee-40-60-konedominiyame-bole-for-rent-iRHTjziaFHLFvtXrSt6FLC1v.html?page=1&pos=4&cur_pos=4&ads_per_page=13&ads_count=245&lid=QzYJYQpSoxhY7PZe,7971
{},False,"[{'name': 'Property size', 'value': 91, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bedrooms'}, {'name': 'Bathrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bathroom'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,5,"የሚከራይ ኮንደሚኒየም 
 ➚ባለ_1 መኝታ 64 ካሬ ስፋት
 ➚ወለል 1ኛ ፎቅ ላይ
 ➚ሙሉ ሴራሚክስ የተሰራ
 
 አድራሻ አያት መቄዶንያ 
  ዋጋ 15,000...",{'listing_options': ['filters']},"{'content_name': 'Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['92MQGIdw4Dx1gILiXtXAaAqc'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",92MQGIdw4Dx1gILiXtXAaAqc,2195018,"{'url': 'https://pictures-ethiopia.jijistatic.com/7391694_MzAwLTY2OC1mOGJiYWE1NmM4.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/7391694_MzAwLTY2OC1mOGJiYWE1NmM4.webp', 'center': None, 'size': [300, 668]}]",5,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fyeka%2Fhouses-apartments-for-rent%2Ffurnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-92MQGIdw4Dx1gILiXtXAaAqc.html%3Fpage%3D1%26pos%3D5%26cur_pos%3D5%26ads_per_page%3D13%26ads_count%3D245%26lid%3DQzYJYQpSoxhY7PZe,{},"{'value': 15000, 'view': 'ETB 15,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 15,000 per month","Addis Ababa, Yeka",21,"Addis Ababa, Yeka",Yeka,Addis Ababa,yeka,"የሚከራይ ኮንደሚኒየም 
 ➚ባለ_1 መኝታ 64 ካሬ ስፋት
 ➚ወለል 1ኛ ፎቅ ላይ
 ➚ሙሉ ሴራሚክስ የተሰራ
 
 አድራሻ አያት መቄዶንያ 
  ዋጋ 15,000...",furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent,active,"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",[],0,/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-92MQGIdw4Dx1gILiXtXAaAqc.html?page=1&pos=5&cur_pos=5&ads_per_page=13&ads_count=245&lid=QzYJYQpSoxhY7PZe,833350
{},False,"[{'name': 'Property size', 'value': 76, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bedrooms'}, {'name': 'Bathrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bathroom'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,8,"የሚከራይ ኮንደሚኒየም 
 ➚ባለ_2 መኝታ 76 ካሬ ስፋት
 ➚ወለል 1ኛ ፎቅ ላይ
 ➚ሙሉ ሴራሚክስ የተሰራ
 አድራሻ: አያት መቄዶንያ 
",{'listing_options': ['filters']},"{'content_name': 'Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['wABH8ayfv192nu1CVj2ZXGi2'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",wABH8ayfv192nu1CVj2ZXGi2,2055768,"{'url': 'https://pictures-ethiopia.jijistatic.com/6932453_MzAwLTY2OC1hZmI5MmUxOGEw.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/6932453_MzAwLTY2OC1hZmI5MmUxOGEw.webp', 'center': None, 'size': [300, 668]}]",8,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fyeka%2Fhouses-apartments-for-rent%2Ffurnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-wABH8ayfv192nu1CVj2ZXGi2.html%3Fpage%3D1%26pos%3D6%26cur_pos%3D6%26ads_per_page%3D13%26ads_count%3D245%26lid%3DQzYJYQpSoxhY7PZe,{},"{'value': 12000, 'view': 'ETB 12,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 12,000 per month","Addis Ababa, Yeka",21,"Addis Ababa, Yeka",Yeka,Addis Ababa,yeka,"የሚከራይ ኮንደሚኒየም 
 ➚ባለ_2 መኝታ 76 ካሬ ስፋት
 ➚ወለል 1ኛ ፎቅ ላይ
 ➚ሙሉ ሴራሚክስ የተሰራ
 አድራሻ: አያት መቄዶንያ 
",furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent,active,"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",[],0,/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-wABH8ayfv192nu1CVj2ZXGi2.html?page=1&pos=6&cur_pos=6&ads_per_page=13&ads_count=245&lid=QzYJYQpSoxhY7PZe,833350
{},False,"[{'name': 'Property size', 'value': 105, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 3, 'unit': None, 'semantic_value': '3 bedrooms'}, {'name': 'Bathrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bathrooms'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,12,"ለመኖሪያ ተመራጭ በሆነው አያት 49 የሚከራይ 40/60 ኮንዶምንየም።
 በደንብ ምንም ሳይቀረው የተሰራ 
አያት 49 ማዞርያ ፊት ለፊት
3 መኝታ 
 2ሻዎር...",{'listing_options': ['filters']},"{'content_name': 'Furnished 3bdrm Condo in የሚከራይ አያት 49 ባለ 3, Yeka for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['psV6HUZYapFbW1sXs1WIgYTL'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",psV6HUZYapFbW1sXs1WIgYTL,1647458,"{'url': 'https://pictures-ethiopia.jijistatic.com/5601536_MzAwLTUzMy00NzNlNWQ5MWM5.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/5601536_MzAwLTUzMy00NzNlNWQ5MWM5.webp', 'center': None, 'size': [300, 533]}]",12,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fyeka%2Fhouses-apartments-for-rent%2Ffurnished-3bdrm-condo-in-yamikaraaye-ayaate-49-baala-3-yeka-for-rent-psV6HUZYapFbW1sXs1WIgYTL.html%3Fpage%3D1%26pos%3D7%26cur_pos%3D7%26ads_per_page%3D13%26ads_count%3D245%26lid%3DQzYJYQpSoxhY7PZe,{},"{'value': 26000, 'view': 'ETB 26,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 26,000 per month","Addis Ababa, Yeka",21,"Addis Ababa, Yeka",Yeka,Addis Ababa,yeka,"ለመኖሪያ ተመራጭ በሆነው አያት 49 የሚከራይ 40/60 ኮንዶምንየም።
 በደንብ ምንም ሳይቀረው የተሰራ 
አያት 49 ማዞርያ ፊት ለፊት
3 መኝታ 
 2ሻዎር...",furnished-3bdrm-condo-in-yamikaraaye-ayaate-49-baala-3-yeka-for-rent,active,"Furnished 3bdrm Condo in የሚከራይ አያት 49 ባለ 3, Yeka for rent",[],0,/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-yamikaraaye-ayaate-49-baala-3-yeka-for-rent-psV6HUZYapFbW1sXs1WIgYTL.html?page=1&pos=7&cur_pos=7&ads_per_page=13&ads_count=245&lid=QzYJYQpSoxhY7PZe,460331
{},False,"[{'name': 'Property size', 'value': 64, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bedrooms'}, {'name': 'Bathrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bathroom'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,10,"የሚከራይ ኮንደሚኒየም 
 ➚ባለ_1 መኝታ 64 ካሬ ስፋት
 ➚ወለል 4ኛ ፎቅ ላይ
 ➚ሙሉ ሴራሚክስ የተሰራ
 ➚ሁለተኛ መኝታ የወጣለት
 ➚ኪችን ካብኔት...",{'listing_options': ['filters']},"{'content_name': 'Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['a5nidy6lz0asHiTCcZXvV6Nz'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",a5nidy6lz0asHiTCcZXvV6Nz,2164256,"{'url': 'https://pictures-ethiopia.jijistatic.com/7300072_MzAwLTY2OC03NjAwYTYwM2Zj.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/7300072_MzAwLTY2OC03NjAwYTYwM2Zj.webp', 'center': None, 'size': [300, 668]}]",10,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fyeka%2Fhouses-apartments-for-rent%2Ffurnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-a5nidy6lz0asHiTCcZXvV6Nz.html%3Fpage%3D1%26pos%3D8%26cur_pos%3D8%26ads_per_page%3D13%26ads_count%3D245%26lid%3DQzYJYQpSoxhY7PZe,{},"{'value': 14000, 'view': 'ETB 14,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 14,000 per month","Addis Ababa, Yeka",21,"Addis Ababa, Yeka",Yeka,Addis Ababa,yeka,"የሚከራይ ኮንደሚኒየም 
 ➚ባለ_1 መኝታ 64 ካሬ ስፋት
 ➚ወለል 4ኛ ፎቅ ላይ
 ➚ሙሉ ሴራሚክስ የተሰራ
 ➚ሁለተኛ መኝታ የወጣለት
 ➚ኪችን ካብኔት...",furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent,active,"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",[],0,/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-a5nidy6lz0asHiTCcZXvV6Nz.html?page=1&pos=8&cur_pos=8&ads_per_page=13&ads_count=245&lid=QzYJYQpSoxhY7PZe,833350
{},False,"[{'name': 'Property size', 'value': 64, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bedrooms'}, {'name': 'Bathrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bathroom'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,7,"የሚከራይ ኮንደሚኒየም 
 ➚ባለ_1 መኝታ 64 ካሬ ስፋት
 ➚ወለል መሬት ላይ
 ➚ሙሉ ሴራሚክስ የተሰራ
 ➚ሁለተኛ መኝታ የወጣለት
 
 አድራሻ አያት መቄዶንያ...",{'listing_options': ['filters']},"{'content_name': 'Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['6vCJSBCteiHeZ0VsdpLCceqb'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",6vCJSBCteiHeZ0VsdpLCceqb,2198052,"{'url': 'https://pictures-ethiopia.jijistatic.com/7401151_MzAwLTY2OC0xYjFkYjcxYTg0.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/7401151_MzAwLTY2OC0xYjFkYjcxYTg0.webp', 'center': None, 'size': [300, 668]}]",7,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fyeka%2Fhouses-apartments-for-rent%2Ffurnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-6vCJSBCteiHeZ0VsdpLCceqb.html%3Fpage%3D1%26pos%3D9%26cur_pos%3D9%26ads_per_page%3D13%26ads_count%3D245%26lid%3DQzYJYQpSoxhY7PZe,{},"{'value': 12000, 'view': 'ETB 12,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 12,000 per month","Addis Ababa, Yeka",21,"Addis Ababa, Yeka",Yeka,Addis Ababa,yeka,"የሚከራይ ኮንደሚኒየም 
 ➚ባለ_1 መኝታ 64 ካሬ ስፋት
 ➚ወለል መሬት ላይ
 ➚ሙሉ ሴራሚክስ የተሰራ
 ➚ሁለተኛ መኝታ የወጣለት
 
 አድራሻ አያት መቄዶንያ...",furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent,active,"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",[],0,/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-6vCJSBCteiHeZ0VsdpLCceqb.html?page=1&pos=9&cur_pos=9&ads_per_page=13&ads_count=245&lid=QzYJYQpSoxhY7PZe,833350
{},False,"[{'name': 'Property size', 'value': 58, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bedroom'}, {'name': 'Bathrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bathroom'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,6,"የሚከራይ ኮንደሚኒየም 
 ➚ባለ_1 መኝታ 61 ካሬ ስፋት
 ➚ወለል 8ኛ ፎቅ ላይ
 ➚ሙሉ ሴራሚክስ የተሰራ
 ➚ቁም-ሳጥን የገባለት
 
 አድራሻ: አያት 49,...",{'listing_options': ['filters']},"{'content_name': 'Furnished 1bdrm Condo in Ayat 49, (Tanker), Yeka for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['lm0DWJ76PoBJx3ZprltmVAlj'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",lm0DWJ76PoBJx3ZprltmVAlj,1950072,"{'url': 'https://pictures-ethiopia.jijistatic.com/6592621_MzAwLTY2OC1mYzc1NzYzNTQ3.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/6592621_MzAwLTY2OC1mYzc1NzYzNTQ3.webp', 'center': None, 'size': [300, 668]}]",6,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fyeka%2Fhouses-apartments-for-rent%2Ffurnished-1bdrm-condo-in-ayat-49-tanker-yeka-for-rent-lm0DWJ76PoBJx3ZprltmVAlj.html%3Fpage%3D1%26pos%3D10%26cur_pos%3D10%26ads_per_page%3D13%26ads_count%3D245%26lid%3DQzYJYQpSoxhY7PZe,{},"{'value': 13000, 'view': 'ETB 13,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 13,000 per month","Addis Ababa, Yeka",21,"Addis Ababa, Yeka",Yeka,Addis Ababa,yeka,"የሚከራይ ኮንደሚኒየም 
 ➚ባለ_1 መኝታ 61 ካሬ ስፋት
 ➚ወለል 8ኛ ፎቅ ላይ
 ➚ሙሉ ሴራሚክስ የተሰራ
 ➚ቁም-ሳጥን የገባለት
 
 አድራሻ: አያት 49,...",furnished-1bdrm-condo-in-ayat-49-tanker-yeka-for-rent,active,"Furnished 1bdrm Condo in Ayat 49, (Tanker), Yeka for rent",[],0,/yeka/houses-apartments-for-rent/furnished-1bdrm-condo-in-ayat-49-tanker-yeka-for-rent-lm0DWJ76PoBJx3ZprltmVAlj.html?page=1&pos=10&cur_pos=10&ads_per_page=13&ads_count=245&lid=QzYJYQpSoxhY7PZe,833350
