title,url,region,price,price_display,bedrooms,bathrooms,furnishing,size_sqm,image_url
"2bdrm Condo in አዲስ አአ, Bole for rent",https://jiji.com.et/bole/houses-apartments-for-rent/2bdrm-condo-in-adise-aa-bole-for-rent-iRvLWViYYMVVQsqGSnSYB7rp.html?page=1&pos=1&cur_pos=1&ads_per_page=13&ads_count=245&lid=uRyKCthsLKy-Kfc3,"Addis Ababa, Bole",30000,"ETB 30,000",2,2,Unfurnished,79,https://pictures-ethiopia.jijistatic.com/6105953_MzAwLTQwMC03YWNhYTY3ZWZm.webp
1bdrm Condo in Bole Bolbula for rent,https://jiji.com.et/bole/houses-apartments-for-rent/1bdrm-condo-in-bole-bolbula-for-rent-AzksGwZHl7HtO933WxpiMok.html?page=1&pos=2&cur_pos=2&ads_per_page=13&ads_count=245&lid=uRyKCthsLKy-Kfc3,"Addis Ababa, Bole",23000,"ETB 23,000",1,1,Semi-Furnished,54,https://pictures-ethiopia.jijistatic.com/5847585_MzAwLTIyNS00ODU1YzM5MWNm.webp
"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-mW5cyK27CtatVtCS8ZhOdgyD.html?page=1&pos=3&cur_pos=3&ads_per_page=13&ads_count=245&lid=uRyKCthsLKy-Kfc3,"Addis Ababa, Yeka",12000,"ETB 12,000",2,2,Furnished,64,https://pictures-ethiopia.jijistatic.com/6887970_MzAwLTY2OC03NDY0YjdmMjc3.webp
"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-92MQGIdw4Dx1gILiXtXAaAqc.html?page=1&pos=4&cur_pos=4&ads_per_page=13&ads_count=245&lid=uRyKCthsLKy-Kfc3,"Addis Ababa, Yeka",15000,"ETB 15,000",2,1,Furnished,91,https://pictures-ethiopia.jijistatic.com/7391694_MzAwLTY2OC1mOGJiYWE1NmM4.webp
"Furnished 3bdrm Condo in የሚከራይ አያት 49 ባለ 3, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-yamikaraaye-ayaate-49-baala-3-yeka-for-rent-psV6HUZYapFbW1sXs1WIgYTL.html?page=1&pos=5&cur_pos=5&ads_per_page=13&ads_count=245&lid=uRyKCthsLKy-Kfc3,"Addis Ababa, Yeka",26000,"ETB 26,000",3,2,Furnished,105,https://pictures-ethiopia.jijistatic.com/5601536_MzAwLTUzMy00NzNlNWQ5MWM5.webp
"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-6vCJSBCteiHeZ0VsdpLCceqb.html?page=1&pos=6&cur_pos=6&ads_per_page=13&ads_count=245&lid=uRyKCthsLKy-Kfc3,"Addis Ababa, Yeka",12000,"ETB 12,000",2,1,Furnished,64,https://pictures-ethiopia.jijistatic.com/7401151_MzAwLTY2OC0xYjFkYjcxYTg0.webp
"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-a5nidy6lz0asHiTCcZXvV6Nz.html?page=1&pos=7&cur_pos=7&ads_per_page=13&ads_count=245&lid=uRyKCthsLKy-Kfc3,"Addis Ababa, Yeka",14000,"ETB 14,000",2,1,Furnished,64,https://pictures-ethiopia.jijistatic.com/7300072_MzAwLTY2OC03NjAwYTYwM2Zj.webp
"Furnished 2bdrm Condo in ቦሌ በሻሌ 40/60 ኮንዶሚኒየም, Bole for rent",https://jiji.com.et/bole/houses-apartments-for-rent/furnished-2bdrm-condo-in-bolee-bashaalee-40-60-konedominiyame-bole-for-rent-iRHTjziaFHLFvtXrSt6FLC1v.html?page=1&pos=8&cur_pos=8&ads_per_page=13&ads_count=245&lid=uRyKCthsLKy-Kfc3,"Addis Ababa, Bole",30000,"ETB 30,000",2,1,Furnished,121,https://pictures-ethiopia.jijistatic.com/7481536_MzAwLTY1MC04ODcxMDkwM2Mz.webp
"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-wABH8ayfv192nu1CVj2ZXGi2.html?page=1&pos=9&cur_pos=9&ads_per_page=13&ads_count=245&lid=uRyKCthsLKy-Kfc3,"Addis Ababa, Yeka",12000,"ETB 12,000",2,1,Furnished,76,https://pictures-ethiopia.jijistatic.com/6932453_MzAwLTY2OC1hZmI5MmUxOGEw.webp
"Furnished 2bdrm Condo in Meri, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-meri-yeka-for-rent-BMFiSl6BgO9xRmmsoRFZ8UZd.html?page=1&pos=10&cur_pos=10&ads_per_page=13&ads_count=245&lid=uRyKCthsLKy-Kfc3,"Addis Ababa, Yeka",26000,"ETB 26,000",2,1,Furnished,88,https://pictures-ethiopia.jijistatic.com/5620591_MzAwLTY2OC04YmM5OGY3OTI0LTE.webp
"Furnished 2bdrm Condo in Ayat Kibr, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-kibr-yeka-for-rent-1aqlULkHDZGtwIBs4nJV8e2D.html?page=1&pos=11&cur_pos=11&ads_per_page=13&ads_count=245&lid=uRyKCthsLKy-Kfc3,"Addis Ababa, Yeka",21000,"ETB 21,000",2,2,Furnished,88,https://pictures-ethiopia.jijistatic.com/6456853_MzAwLTY2Ny04ODBmOThkM2Rk.webp
"Furnished 1bdrm Condo in Ayat 49, (Tanker), Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-1bdrm-condo-in-ayat-49-tanker-yeka-for-rent-lm0DWJ76PoBJx3ZprltmVAlj.html?page=1&pos=12&cur_pos=12&ads_per_page=13&ads_count=245&lid=uRyKCthsLKy-Kfc3,"Addis Ababa, Yeka",13000,"ETB 13,000",1,1,Furnished,58,https://pictures-ethiopia.jijistatic.com/6592621_MzAwLTY2OC1mYzc1NzYzNTQ3.webp
"Furnished 2bdrm Condo in Ayat Mekedonia(Kibr, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-kibr-yeka-for-rent-gehohSE4GePAzHAz8rNEB6Hc.html?page=1&pos=13&cur_pos=13&ads_per_page=13&ads_count=245&lid=uRyKCthsLKy-Kfc3,"Addis Ababa, Yeka",13000,"ETB 13,000",2,1,Furnished,81,https://pictures-ethiopia.jijistatic.com/7046743_MzAwLTY2OC1lMGM1OWFhMzBk.webp
"2bdrm Condo in Ayat 49, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/2bdrm-condo-in-ayat-49-yeka-for-rent-oUmPnP2oCD5IWGs7NQ3Ocm7Y.html?page=2&pos=1&cur_pos=1&ads_per_page=13&ads_count=245&lid=RWjBlhD1XsCjDg0a,"Addis Ababa, Yeka",27000,"ETB 27,000",2,2,Semi-Furnished,90,https://pictures-ethiopia.jijistatic.com/7667575_MzAwLTY2OC0xMDQ4OWQ4YzZm.webp
"Furnished 2bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-yeka-for-rent-jFajUkc0v40hLK70qcTCOxpC.html?page=2&pos=2&cur_pos=2&ads_per_page=13&ads_count=245&lid=RWjBlhD1XsCjDg0a,"Addis Ababa, Yeka",14000,"ETB 14,000",2,1,Furnished,64,https://pictures-ethiopia.jijistatic.com/7328448_MzAwLTY2OC1mYTMwMDdhYzlj.webp
"1bdrm Condo in አያት መብራት ኮንዶምኒየም 3ኛ, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/1bdrm-condo-in-ayaate-maberaate-konedomeniyame-3nyaa-yeka-for-rent-wE3ZYdbRTbYZSb2DIYNrPNyl.html?page=2&pos=3&cur_pos=3&ads_per_page=13&ads_count=245&lid=RWjBlhD1XsCjDg0a,"Addis Ababa, Yeka",4000000,"ETB 4,000,000",1,1,Unfurnished,47,https://pictures-ethiopia.jijistatic.com/5201306_MzAwLTUzMy1lYzM3ZTAzYjdiLTE.webp
"Furnished 2bdrm Condo in Ayat Kibr, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-kibr-yeka-for-rent-1aqlULkHDZGtwIBs4nJV8e2D.html?page=2&pos=4&cur_pos=4&ads_per_page=13&ads_count=245&lid=RWjBlhD1XsCjDg0a,"Addis Ababa, Yeka",21000,"ETB 21,000",2,2,Furnished,88,https://pictures-ethiopia.jijistatic.com/6456853_MzAwLTY2Ny04ODBmOThkM2Rk.webp
"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-p0yRLNMKKSGYExYETL59k9HC.html?page=2&pos=5&cur_pos=5&ads_per_page=13&ads_count=245&lid=RWjBlhD1XsCjDg0a,"Addis Ababa, Yeka",23000,"ETB 23,000",2,1,Furnished,88,https://pictures-ethiopia.jijistatic.com/6344675_MzAwLTY2OC0wMjUyYzdlNjZl.webp
"Furnished 3bdrm Condo in Ayat Mekedonia, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-ayat-mekedonia-yeka-for-rent-CsYVknyPjVvTOwiuyWESIb9L.html?page=2&pos=6&cur_pos=6&ads_per_page=13&ads_count=245&lid=RWjBlhD1XsCjDg0a,"Addis Ababa, Yeka",20000,"ETB 20,000",3,1,Furnished,110,https://pictures-ethiopia.jijistatic.com/6758473_MzAwLTY2OC03ZTc2YTZiNzE0.webp
"Furnished 2bdrm Condo in Ayat Mekedonia/ Kibr, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-mekedonia-kibr-yeka-for-rent-ntqb5bhL8oQvYhjaIFFjl4PX.html?page=2&pos=7&cur_pos=7&ads_per_page=13&ads_count=245&lid=RWjBlhD1XsCjDg0a,"Addis Ababa, Yeka",16000,"ETB 16,000",2,1,Furnished,64,https://pictures-ethiopia.jijistatic.com/6387398_MzAwLTY2OC04YzM4YWRmNmU0.webp
"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",https://jiji.com.et/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-hHrAIiiH4faqR2xcvM8W4Qah.html?page=2&pos=8&cur_pos=8&ads_per_page=13&ads_count=245&lid=RWjBlhD1XsCjDg0a,"Addis Ababa, Yeka",21000,"ETB 21,000",2,1,Furnished,88,https://pictures-ethiopia.jijistatic.com/6456929_MzAwLTY2OC0xOTY0OTQzMjYx.webp
