admin_info,as_top,attrs,badge_info,can_view_contacts,category_id,category_name,category_slug,count_images,details,event_params,fb_view_content_data,guid,id,image_obj,images,images_count,is_boost,is_cv,is_inspected,is_job,is_owner,is_top,labels,message_url,paid_info,price_obj,price_title,region,region_id,region_item_text,region_name,region_parent_name,region_slug,short_description,slug,status,title,title_labels,tops_count,url,user_id
{},False,"[{'name': 'Property size', 'value': 54, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Semi-Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bedroom'}, {'name': 'Bathrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bathroom'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,5,"Location bole bolbula one bedroom condominium for rent 
For all information call 0913400120",{'listing_options': ['filters']},"{'content_name': '1bdrm Condo in Bole Bolbula for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['AzksGwZHl7HtO933WxpiMok'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",AzksGwZHl7HtO933WxpiMok,1721875,"{'url': 'https://pictures-ethiopia.jijistatic.com/5847585_MzAwLTIyNS00ODU1YzM5MWNm.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/5847585_MzAwLTIyNS00ODU1YzM5MWNm.webp', 'center': None, 'size': [300, 225]}]",5,vip,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fbole%2Fhouses-apartments-for-rent%2F1bdrm-condo-in-bole-bolbula-for-rent-AzksGwZHl7HtO933WxpiMok.html%3Fpage%3D1%26pos%3D1%26cur_pos%3D1%26ads_per_page%3D13%26ads_count%3D256%26lid%3DmMDirpCiyCb8Zd1T,"{'text': 'Promoted', 'package_type': 'vip', 'border': '', 'icon': True, 'more_photos': False}","{'value': 23000, 'view': 'ETB 23,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 23,000 per month","Addis Ababa, Bole",15,"Addis Ababa, Bole",Bole,Addis Ababa,bole,"Location bole bolbula one bedroom condominium for rent 
For all information call091*********",1bdrm-condo-in-bole-bolbula-for-rent,active,1bdrm Condo in Bole Bolbula for rent,[],0,/bole/houses-apartments-for-rent/1bdrm-condo-in-bole-bolbula-for-rent-AzksGwZHl7HtO933WxpiMok.html?page=1&pos=1&cur_pos=1&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,18192
{},False,"[{'name': 'Property size', 'value': 61, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bedrooms'}, {'name': 'Bathrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bathroom'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,5," የሚከራይ ኮንደሚኒየም 
 ➚ባለ_1 መኝታ 61 ካሬ ስፋት
 ➚ወለል 10ኛ ፎቅ ላይ
 ➚ሙሉ ሴራሚክስ የተሰራ
 ➚ሁለተኛ መኝታ የወጣለት
 ➚ኪችን ካብኔት...",{'listing_options': ['filters']},"{'content_name': 'Furnished 2bdrm Condo in Ayat Ayer Menged, Yeka for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['m9QrsuCBhtRHEiFbcAEtg2qS'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",m9QrsuCBhtRHEiFbcAEtg2qS,2384299,"{'url': 'https://pictures-ethiopia.jijistatic.com/8026746_MzAwLTY2OC1lOGVkNWQ1YTdm.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/8026746_MzAwLTY2OC1lOGVkNWQ1YTdm.webp', 'center': None, 'size': [300, 668]}]",5,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fyeka%2Fhouses-apartments-for-rent%2Ffurnished-2bdrm-condo-in-ayat-ayer-menged-yeka-for-rent-m9QrsuCBhtRHEiFbcAEtg2qS.html%3Fpage%3D1%26pos%3D2%26cur_pos%3D2%26ads_per_page%3D13%26ads_count%3D256%26lid%3DmMDirpCiyCb8Zd1T,{},"{'value': 11000, 'view': 'ETB 11,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 11,000 per month","Addis Ababa, Yeka",21,"Addis Ababa, Yeka",Yeka,Addis Ababa,yeka," የሚከራይ ኮንደሚኒየም 
 ➚ባለ_1 መኝታ 61 ካሬ ስፋት
 ➚ወለል 10ኛ ፎቅ ላይ
 ➚ሙሉ ሴራሚክስ የተሰራ
 ➚ሁለተኛ መኝታ የወጣለት
 ➚ኪችን ካብኔት...",furnished-2bdrm-condo-in-ayat-ayer-menged-yeka-for-rent,active,"Furnished 2bdrm Condo in Ayat Ayer Menged, Yeka for rent",[],0,/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-ayer-menged-yeka-for-rent-m9QrsuCBhtRHEiFbcAEtg2qS.html?page=1&pos=2&cur_pos=2&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,833350
{},False,"[{'name': 'Property size', 'value': 74, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bedrooms'}, {'name': 'Bathrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bathroom'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,12,"አስቸኳይ የሚሸጥ ኮንዶሚኒየም
ቦታው አያት መብራት ኃይል
ባለ 2 መኝታ ስፋት 69 ካሬ
 4ኛ ወለል ላይ ቦርድ በደንብ የተሰራ
 በደንብ ጥንቅቅ ብሎ በሴራሚክ...",{'listing_options': ['filters']},"{'content_name': 'Furnished 2bdrm Condo in አያት መብራት ኃይል የሚሸጥ, Yeka for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['w5DHEVFuaF2IpRQSAPYNBgfv'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",w5DHEVFuaF2IpRQSAPYNBgfv,1766359,"{'url': 'https://pictures-ethiopia.jijistatic.com/6001777_MzAwLTUzMy03OTBlMTdjOTRj.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/6001777_MzAwLTUzMy03OTBlMTdjOTRj.webp', 'center': None, 'size': [300, 533]}]",12,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fyeka%2Fhouses-apartments-for-rent%2Ffurnished-2bdrm-condo-in-ayaate-maberaate-xaayele-yamishathe-yeka-for-rent-w5DHEVFuaF2IpRQSAPYNBgfv.html%3Fpage%3D1%26pos%3D3%26cur_pos%3D3%26ads_per_page%3D13%26ads_count%3D256%26lid%3DmMDirpCiyCb8Zd1T,{},"{'value': 5000000, 'view': 'ETB 5,000,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 5,000,000 per month","Addis Ababa, Yeka",21,"Addis Ababa, Yeka",Yeka,Addis Ababa,yeka,"አስቸኳይ የሚሸጥ ኮንዶሚኒየም
ቦታው አያት መብራት ኃይል
ባለ 2 መኝታ ስፋት 69 ካሬ
 4ኛ ወለል ላይ ቦርድ በደንብ የተሰራ
 በደንብ ጥንቅቅ ብሎ በሴራሚክ...",furnished-2bdrm-condo-in-ayaate-maberaate-xaayele-yamishathe-yeka-for-rent,active,"Furnished 2bdrm Condo in አያት መብራት ኃይል የሚሸጥ, Yeka for rent",[],0,/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayaate-maberaate-xaayele-yamishathe-yeka-for-rent-w5DHEVFuaF2IpRQSAPYNBgfv.html?page=1&pos=3&cur_pos=3&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,460331
{},False,"[{'name': 'Property size', 'value': 86, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bedrooms'}, {'name': 'Bathrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bathrooms'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,7,"የሚከራይ ኮንደሚኒየም 
 ➚ ባለ_2 መኝታ 86 ካሬ ስፋት
 ➚ወለል 5ኛ ፎቅላይ
 ➚ሙሉ ሴራሚክስ የተሰራ
 ➚3ኛ መኝታ የወጣለት 
 ➚ኪችን ካብኔት የገባለት
...",{'listing_options': ['filters']},"{'content_name': 'Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['r9jF8IvJNo1gcaZrsol9MTuy'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",r9jF8IvJNo1gcaZrsol9MTuy,2236182,"{'url': 'https://pictures-ethiopia.jijistatic.com/7528148_MzAwLTY2OC1lMGRjZGI3NTE2.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/7528148_MzAwLTY2OC1lMGRjZGI3NTE2.webp', 'center': None, 'size': [300, 668]}]",7,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fyeka%2Fhouses-apartments-for-rent%2Ffurnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-r9jF8IvJNo1gcaZrsol9MTuy.html%3Fpage%3D1%26pos%3D4%26cur_pos%3D4%26ads_per_page%3D13%26ads_count%3D256%26lid%3DmMDirpCiyCb8Zd1T,{},"{'value': 15000, 'view': 'ETB 15,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 15,000 per month","Addis Ababa, Yeka",21,"Addis Ababa, Yeka",Yeka,Addis Ababa,yeka,"የሚከራይ ኮንደሚኒየም 
 ➚ ባለ_2 መኝታ 86 ካሬ ስፋት
 ➚ወለል 5ኛ ፎቅላይ
 ➚ሙሉ ሴራሚክስ የተሰራ
 ➚3ኛ መኝታ የወጣለት 
 ➚ኪችን ካብኔት የገባለት
...",furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent,active,"Furnished 2bdrm Condo in Ayat 49, 40/60, Yeka for rent",[],0,/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-49-40-60-yeka-for-rent-r9jF8IvJNo1gcaZrsol9MTuy.html?page=1&pos=4&cur_pos=4&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,833350
{},False,"[{'name': 'Property size', 'value': 90, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bedrooms'}, {'name': 'Bathrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bathrooms'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,8,"የሚከራይ ሙሉ ግቢ
 ➚90 ካሬ ስፋት
 ➚ዋናው መኝታ ቤት ሴራሚክስ
 ➚የውጭ 1 ሰርቪሲ ያለው
 ➚ኪችን ካብኔት የገባለት
 ➚ቁም-ሳጥን የገባለት
 ➚የውሃ...",{'listing_options': ['filters']},"{'content_name': 'Furnished 2bdrm Condo in Ayat Gift Real State, Yeka for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['9OZxE8P6TTE71NmMHUE0LeBZ'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",9OZxE8P6TTE71NmMHUE0LeBZ,2277300,"{'url': 'https://pictures-ethiopia.jijistatic.com/7667437_MzAwLTY2OC0yODliMmMyZjVi.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/7667437_MzAwLTY2OC0yODliMmMyZjVi.webp', 'center': None, 'size': [300, 668]}]",8,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fyeka%2Fhouses-apartments-for-rent%2Ffurnished-2bdrm-condo-in-ayat-gift-real-state-yeka-for-rent-9OZxE8P6TTE71NmMHUE0LeBZ.html%3Fpage%3D1%26pos%3D5%26cur_pos%3D5%26ads_per_page%3D13%26ads_count%3D256%26lid%3DmMDirpCiyCb8Zd1T,{},"{'value': 30000, 'view': 'ETB 30,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 30,000 per month","Addis Ababa, Yeka",21,"Addis Ababa, Yeka",Yeka,Addis Ababa,yeka,"የሚከራይ ሙሉ ግቢ
 ➚90 ካሬ ስፋት
 ➚ዋናው መኝታ ቤት ሴራሚክስ
 ➚የውጭ 1 ሰርቪሲ ያለው
 ➚ኪችን ካብኔት የገባለት
 ➚ቁም-ሳጥን የገባለት
 ➚የውሃ...",furnished-2bdrm-condo-in-ayat-gift-real-state-yeka-for-rent,active,"Furnished 2bdrm Condo in Ayat Gift Real State, Yeka for rent",[],0,/yeka/houses-apartments-for-rent/furnished-2bdrm-condo-in-ayat-gift-real-state-yeka-for-rent-9OZxE8P6TTE71NmMHUE0LeBZ.html?page=1&pos=5&cur_pos=5&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,833350
{},False,"[{'name': 'Property size', 'value': 91, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 3, 'unit': None, 'semantic_value': '3 bedrooms'}, {'name': 'Bathrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bathrooms'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,8,"የሚከራይ ኮንደሚኒየም 
 ➚ባለ_3 መኝታ 91 ካሬ ስፋት
 ➚ወለል 2ኛ ፎቅ ላይ
 ➚ሙሉ ሴራሚክስ የተሰራ
 ➚ኪችን ካብኔት የገባለት
 ➚ቁም-ሳጥን የገባለት
...",{'listing_options': ['filters']},"{'content_name': 'Furnished 3bdrm Condo in Ayat 49, 40/60, Yeka for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['7raCcUVtcQYL6T6nNqh5PoL'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",7raCcUVtcQYL6T6nNqh5PoL,2059723,"{'url': 'https://pictures-ethiopia.jijistatic.com/6945440_MzAwLTY2OC0yMjM3YWQ5ZGE0.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/6945440_MzAwLTY2OC0yMjM3YWQ5ZGE0.webp', 'center': None, 'size': [300, 668]}]",8,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fyeka%2Fhouses-apartments-for-rent%2Ffurnished-3bdrm-condo-in-ayat-49-40-60-yeka-for-rent-7raCcUVtcQYL6T6nNqh5PoL.html%3Fpage%3D1%26pos%3D6%26cur_pos%3D6%26ads_per_page%3D13%26ads_count%3D256%26lid%3DmMDirpCiyCb8Zd1T,{},"{'value': 30000, 'view': 'ETB 30,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 30,000 per month","Addis Ababa, Yeka",21,"Addis Ababa, Yeka",Yeka,Addis Ababa,yeka,"የሚከራይ ኮንደሚኒየም 
 ➚ባለ_3 መኝታ 91 ካሬ ስፋት
 ➚ወለል 2ኛ ፎቅ ላይ
 ➚ሙሉ ሴራሚክስ የተሰራ
 ➚ኪችን ካብኔት የገባለት
 ➚ቁም-ሳጥን የገባለት
...",furnished-3bdrm-condo-in-ayat-49-40-60-yeka-for-rent,active,"Furnished 3bdrm Condo in Ayat 49, 40/60, Yeka for rent",[],0,/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-ayat-49-40-60-yeka-for-rent-7raCcUVtcQYL6T6nNqh5PoL.html?page=1&pos=6&cur_pos=6&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,833350
{},False,"[{'name': 'Property size', 'value': 61, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bedroom'}, {'name': 'Bathrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bathroom'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,5,"የሚከራይ ኮንደሚኒየም 
 ➚ባለአንድ መኝታ 61 ካሬ ስፋት
 ➚ወለል 7ኛ ፎቅ ላይ 
 ➚ሙሉ ሴራሚክስ የተሰራ
 ➚ኪችን ካብኔት የገባለት
 ➚ፅድት ያለ ቤት 
...",{'listing_options': ['filters']},"{'content_name': 'Furnished 1bdrm Condo in Ayat 49,, Yeka for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['C3zF0hSyT3mrLkdy8WDQSPq5'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",C3zF0hSyT3mrLkdy8WDQSPq5,1823117,"{'url': 'https://pictures-ethiopia.jijistatic.com/6184456_MzAwLTY2OC03OTcyM2Q5NDQ3.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/6184456_MzAwLTY2OC03OTcyM2Q5NDQ3.webp', 'center': None, 'size': [300, 668]}]",5,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fyeka%2Fhouses-apartments-for-rent%2Ffurnished-1bdrm-condo-in-ayat-49-yeka-for-rent-C3zF0hSyT3mrLkdy8WDQSPq5.html%3Fpage%3D1%26pos%3D7%26cur_pos%3D7%26ads_per_page%3D13%26ads_count%3D256%26lid%3DmMDirpCiyCb8Zd1T,{},"{'value': 17000, 'view': 'ETB 17,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 17,000 per month","Addis Ababa, Yeka",21,"Addis Ababa, Yeka",Yeka,Addis Ababa,yeka,"የሚከራይ ኮንደሚኒየም 
 ➚ባለአንድ መኝታ 61 ካሬ ስፋት
 ➚ወለል 7ኛ ፎቅ ላይ 
 ➚ሙሉ ሴራሚክስ የተሰራ
 ➚ኪችን ካብኔት የገባለት
 ➚ፅድት ያለ ቤት 
...",furnished-1bdrm-condo-in-ayat-49-yeka-for-rent,active,"Furnished 1bdrm Condo in Ayat 49,, Yeka for rent",[],0,/yeka/houses-apartments-for-rent/furnished-1bdrm-condo-in-ayat-49-yeka-for-rent-C3zF0hSyT3mrLkdy8WDQSPq5.html?page=1&pos=7&cur_pos=7&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,833350
{},False,"[{'name': 'Property size', 'value': 105, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 3, 'unit': None, 'semantic_value': '3 bedrooms'}, {'name': 'Bathrooms', 'value': 2, 'unit': None, 'semantic_value': '2 bathrooms'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,12,"ለመኖሪያ ተመራጭ በሆነው አያት 49 የሚከራይ 40/60 ኮንዶምንየም።
 በደንብ ምንም ሳይቀረው የተሰራ 
አያት 49 ማዞርያ ፊት ለፊት
3 መኝታ 
 2ሻዎር...",{'listing_options': ['filters']},"{'content_name': 'Furnished 3bdrm Condo in የሚከራይ አያት 49 ባለ 3, Yeka for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['psV6HUZYapFbW1sXs1WIgYTL'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",psV6HUZYapFbW1sXs1WIgYTL,1647458,"{'url': 'https://pictures-ethiopia.jijistatic.com/5601536_MzAwLTUzMy00NzNlNWQ5MWM5.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/5601536_MzAwLTUzMy00NzNlNWQ5MWM5.webp', 'center': None, 'size': [300, 533]}]",12,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fyeka%2Fhouses-apartments-for-rent%2Ffurnished-3bdrm-condo-in-yamikaraaye-ayaate-49-baala-3-yeka-for-rent-psV6HUZYapFbW1sXs1WIgYTL.html%3Fpage%3D1%26pos%3D8%26cur_pos%3D8%26ads_per_page%3D13%26ads_count%3D256%26lid%3DmMDirpCiyCb8Zd1T,{},"{'value': 26000, 'view': 'ETB 26,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 26,000 per month","Addis Ababa, Yeka",21,"Addis Ababa, Yeka",Yeka,Addis Ababa,yeka,"ለመኖሪያ ተመራጭ በሆነው አያት 49 የሚከራይ 40/60 ኮንዶምንየም።
 በደንብ ምንም ሳይቀረው የተሰራ 
አያት 49 ማዞርያ ፊት ለፊት
3 መኝታ 
 2ሻዎር...",furnished-3bdrm-condo-in-yamikaraaye-ayaate-49-baala-3-yeka-for-rent,active,"Furnished 3bdrm Condo in የሚከራይ አያት 49 ባለ 3, Yeka for rent",[],0,/yeka/houses-apartments-for-rent/furnished-3bdrm-condo-in-yamikaraaye-ayaate-49-baala-3-yeka-for-rent-psV6HUZYapFbW1sXs1WIgYTL.html?page=1&pos=8&cur_pos=8&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,460331
{},False,"[{'name': 'Property size', 'value': 59, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Semi-Furnished', 'unit': None}, {'name': 'Bedrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bedroom'}, {'name': 'Bathrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bathroom'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,8,"የሚከራይ ኮንደሚኒየም 
 ➚ባለ-1 መኝታ 59 ካሬ ስፋት
 ➚ወለል 10ኛ ፎቅ ላይ
",{'listing_options': ['filters']},"{'content_name': '1bdrm Condo in Ayat 49, 40/60, Yeka for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['yBrod9pJkHXeofjNBJUQTOjq'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",yBrod9pJkHXeofjNBJUQTOjq,1922876,"{'url': 'https://pictures-ethiopia.jijistatic.com/6506304_MzAwLTY2Ny1hZjcxOTg2YzBj.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/6506304_MzAwLTY2Ny1hZjcxOTg2YzBj.webp', 'center': None, 'size': [300, 667]}]",8,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fyeka%2Fhouses-apartments-for-rent%2F1bdrm-condo-in-ayat-49-40-60-yeka-for-rent-yBrod9pJkHXeofjNBJUQTOjq.html%3Fpage%3D1%26pos%3D9%26cur_pos%3D9%26ads_per_page%3D13%26ads_count%3D256%26lid%3DmMDirpCiyCb8Zd1T,{},"{'value': 10000, 'view': 'ETB 10,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 10,000 per month","Addis Ababa, Yeka",21,"Addis Ababa, Yeka",Yeka,Addis Ababa,yeka,"የሚከራይ ኮንደሚኒየም 
 ➚ባለ-1 መኝታ 59 ካሬ ስፋት
 ➚ወለል 10ኛ ፎቅ ላይ
",1bdrm-condo-in-ayat-49-40-60-yeka-for-rent,active,"1bdrm Condo in Ayat 49, 40/60, Yeka for rent",[],0,/yeka/houses-apartments-for-rent/1bdrm-condo-in-ayat-49-40-60-yeka-for-rent-yBrod9pJkHXeofjNBJUQTOjq.html?page=1&pos=9&cur_pos=9&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,833350
{},False,"[{'name': 'Property size', 'value': 47, 'unit': 'sqm'}, {'name': 'Furnishing', 'value': 'Unfurnished', 'unit': None}, {'name': 'Bedrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bedroom'}, {'name': 'Bathrooms', 'value': 1, 'unit': None, 'semantic_value': '1 bathroom'}]",{},True,42,Houses & Apartments for Rent,houses-apartments-for-rent,9,"የሚሸጥ ኮንዶሚንየም(Condominuim)
ባለ 1 መኝታ 
3ኛ ወለል
ስፋት 47 ካሬ ምርጥ መኖርያ 
 ኪችን ካብኔት ቁምሳጥን የተሰራ
 ሙሉ ሴራሚክ...",{'listing_options': ['filters']},"{'content_name': '1bdrm Condo in አያት መብራት ኮንዶምኒየም 3ኛ, Yeka for rent', 'content_category': 'Houses and Apartments for Rent', 'content_ids': ['wE3ZYdbRTbYZSb2DIYNrPNyl'], 'content_type': 'product', 'value': '0.01', 'currency': 'USD'}",wE3ZYdbRTbYZSb2DIYNrPNyl,1523804,"{'url': 'https://pictures-ethiopia.jijistatic.com/5201306_MzAwLTUzMy1lYzM3ZTAzYjdiLTE.webp', 'center': None}","[{'url': 'https://pictures-ethiopia.jijistatic.com/5201306_MzAwLTUzMy1lYzM3ZTAzYjdiLTE.webp', 'center': None, 'size': [300, 533]}]",9,False,False,False,False,False,False,[],/?auth=Login&type=reply-form&url=%2Fyeka%2Fhouses-apartments-for-rent%2F1bdrm-condo-in-ayaate-maberaate-konedomeniyame-3nyaa-yeka-for-rent-wE3ZYdbRTbYZSb2DIYNrPNyl.html%3Fpage%3D1%26pos%3D10%26cur_pos%3D10%26ads_per_page%3D13%26ads_count%3D256%26lid%3DmMDirpCiyCb8Zd1T,{},"{'value': 4000000, 'view': 'ETB 4,000,000', 'period': 'per month', 'bulk': None, 'type': None}","ETB 4,000,000 per month","Addis Ababa, Yeka",21,"Addis Ababa, Yeka",Yeka,Addis Ababa,yeka,"የሚሸጥ ኮንዶሚንየም(Condominuim)
ባለ 1 መኝታ 
3ኛ ወለል
ስፋት 47 ካሬ ምርጥ መኖርያ 
 ኪችን ካብኔት ቁምሳጥን የተሰራ
 ሙሉ ሴራሚክ...",1bdrm-condo-in-ayaate-maberaate-konedomeniyame-3nyaa-yeka-for-rent,active,"1bdrm Condo in አያት መብራት ኮንዶምኒየም 3ኛ, Yeka for rent",[],0,/yeka/houses-apartments-for-rent/1bdrm-condo-in-ayaate-maberaate-konedomeniyame-3nyaa-yeka-for-rent-wE3ZYdbRTbYZSb2DIYNrPNyl.html?page=1&pos=10&cur_pos=10&ads_per_page=13&ads_count=256&lid=mMDirpCiyCb8Zd1T,460331
